id_pedido,data_venda,ids_cliente,idade_cliente,produto,categoria,quantidade,valor_unitario,valores_venda,estado,feedback
1,2022-01-01,103,21,Smartphone,Eletrônicos,3,302.6783949639554,908.0351848918662,FL,Muito satisfeito com a compra.
2,2022-01-02,436,20,Tablet,Eletrônicos,5,267.6722766014043,1338.3613830070215,CA,Muito satisfeito com a compra.
3,2022-01-03,861,67,Tablet,Eletrônicos,4,945.3872362590361,3781.5489450361442,NY,Atendimento excepcional.
4,2022-01-04,271,40,Smartphone,Eletrônicos,3,1334.8301682455176,4004.490504736553,CA,Produto com ótimo custo-benefício.
5,2022-01-05,107,33,Fone de ouvido,Acessórios,2,742.1003783971379,1484.2007567942758,TX,Excelente produto!
6,2022-01-06,72,62,Laptop,Eletrônicos,1,425.4081932839609,425.4081932839609,FL,Produto com ótimo custo-benefício.
7,2022-01-07,701,30,Fone de ouvido,Acessórios,3,1646.9785676535787,4940.935702960736,TX,Produto com defeito
8,2022-01-08,21,56,Fone de ouvido,Acessórios,5,758.0514751886249,3790.2573759431243,CA,Produto com ótimo custo-benefício.
9,2022-01-09,615,48,Smartphone,Eletrônicos,2,428.92589809861903,857.8517961972381,IL,Muito satisfeito com a compra.
10,2022-01-10,122,41,Laptop,Eletrônicos,1,761.9155111383967,761.9155111383967,IL,Produto cumpre o que promete
11,2022-01-11,467,64,Laptop,Eletrônicos,4,468.3807049034424,1873.5228196137696,CA,Entrega rápida!
12,2022-01-12,215,75,Fone de ouvido,Acessórios,2,1062.923088734064,2125.846177468128,NY,Produto com ótimo custo-benefício.
13,2022-01-13,331,32,Smartphone,Eletrônicos,1,1353.1643029685133,1353.1643029685133,TX,Sem reclamações.
14,2022-01-14,459,22,Laptop,Eletrônicos,4,1609.1368855384126,6436.54754215365,CA,Entrega rápida!
15,2022-01-15,88,66,Fone de ouvido,Acessórios,1,493.7459591237385,493.7459591237385,CA,Entrega dentro do prazo previsto.
16,2022-01-16,373,39,Laptop,Eletrônicos,4,375.5603111236688,1502.2412444946751,IL,Entrega rápida!
17,2022-01-17,100,39,Smartphone,Eletrônicos,4,88.22667074567931,352.90668298271726,FL,Muito satisfeito com a compra.
18,2022-01-18,872,28,Smartphone,Eletrônicos,4,494.7711482771232,1979.0845931084928,FL,Produto ok.
19,2022-01-19,664,41,Smartphone,Eletrônicos,1,96.61543737070267,96.61543737070267,NY,Entrega rápida!
20,2022-01-20,131,62,Laptop,Eletrônicos,4,723.6746971936657,2894.6987887746627,NY,Atendimento excepcional.
21,2022-01-21,662,27,Tablet,Eletrônicos,2,334.1015232185714,668.2030464371428,NY,Excelente produto!
22,2022-01-22,309,64,Laptop,Eletrônicos,5,1180.7964165441792,5903.982082720896,IL,Sem reclamações.
23,2022-01-23,770,51,Tablet,Eletrônicos,5,798.2671810079826,3991.335905039913,CA,Entrega dentro do prazo previsto.
24,2022-01-24,344,28,Smartphone,Eletrônicos,4,232.49141508798112,929.9656603519245,NY,Muito satisfeito com a compra.
25,2022-01-25,492,74,Fone de ouvido,Acessórios,5,829.7396029213585,4148.698014606793,IL,Sem reclamações.
26,2022-01-26,414,60,Tablet,Eletrônicos,5,458.2288261373107,2291.1441306865536,TX,Entrega dentro do prazo previsto.
27,2022-01-27,806,46,Smartphone,Eletrônicos,4,1376.3458351132058,5505.383340452823,CA,Qualidade inferior ao anunciado
28,2022-01-28,386,39,Smartphone,Eletrônicos,4,760.6506773029428,3042.602709211771,TX,Atendimento excepcional.
29,2022-01-29,192,50,Tablet,Eletrônicos,2,336.70851796953485,673.4170359390697,FL,Produto cumpre o que promete
30,2022-01-30,956,74,Fone de ouvido,Acessórios,3,731.7233781883589,2195.1701345650768,FL,Produto com ótimo custo-benefício.
31,2022-01-31,277,25,Smartphone,Eletrônicos,1,487.5377511638617,487.5377511638617,CA,Entrega dentro do prazo previsto.
32,2022-02-01,161,75,Tablet,Eletrônicos,4,1601.7690531948529,6407.076212779411,NY,Entrega rápida!
33,2022-02-02,460,66,Fone de ouvido,Acessórios,4,1967.5667427116432,7870.266970846573,CA,Entrega rápida!
34,2022-02-03,314,49,Fone de ouvido,Acessórios,5,99.7082086080465,498.5410430402325,NY,Atendimento sem problema
35,2022-02-04,22,57,Smartphone,Eletrônicos,2,1395.5392677647997,2791.0785355295993,FL,Produto cumpre o que promete
36,2022-02-05,253,62,Laptop,Eletrônicos,5,564.7177755657988,2823.5888778289936,CA,Atendimento excepcional.
37,2022-02-06,748,40,Laptop,Eletrônicos,4,179.4968555451242,717.9874221804968,CA,Entrega rápida!
38,2022-02-07,857,22,Smartphone,Eletrônicos,4,77.98505369132235,311.9402147652894,NY,Muito satisfeito com a compra.
39,2022-02-08,561,48,Fone de ouvido,Acessórios,5,1767.968854964233,8839.844274821166,FL,Excelente produto!
40,2022-02-09,475,46,Smartphone,Eletrônicos,4,739.5326790517091,2958.1307162068365,FL,Excelente produto!
41,2022-02-10,59,23,Tablet,Eletrônicos,3,1989.360589576678,5968.081768730034,NY,Entrega rápida!
42,2022-02-11,511,69,Laptop,Eletrônicos,1,912.635476878914,912.635476878914,NY,Entrega rápida!
43,2022-02-12,682,42,Tablet,Eletrônicos,1,415.81561595418003,415.81561595418003,NY,Atendimento excepcional.
44,2022-02-13,476,42,Smartphone,Eletrônicos,1,1565.4299586189643,1565.4299586189643,FL,Atendimento excepcional.
